Customer,DOJ,StudentName,Department,City,Branch,Application,Duration,FeesperHour,Column1,Lat,Long,State
Customer A,01-01-2017,Student266,Sales,Bangalore,Jalahalli,Excel,75,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,12.966667,77.566667,Karnataka
Customer K,01-01-2017,Student2786,Sales,Nagpur,Nag 2,Excel,69,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,21.1526179,79.0881983,Maharashtra
Customer K,01-01-2017,Student55,HR,Hyderabad,Hyd3,Outlook,51,1200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer C,01-01-2017,Student3517,IT,Nagpur,Nag 1,PowerBI,33,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,21.1526179,79.0881983,Maharashtra
Customer J,01-01-2017,Student154,IT,New Delhi,Saket,VBA,53,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer I,01-02-2017,Student1513,ADmN,New Delhi,Noida,Office 365,76,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,28.6741448,77.216544,Delhi
Customer I,01-02-2017,Student3530,Finance,Nagpur,Nag3,Outlook,47,1200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer J,01-02-2017,Student5487,HR,Nagpur,Nag3,PowerBI,43,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,21.1526179,79.0881983,Maharashtra
Customer E,01-02-2017,Student6574,ADmN,Kolkata,Howrah,PowerBI,77,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer H,01-02-2017,Student5841,ADmN,Chennai,Koyambedu,VBA,84,2200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer A,01-03-2017,Student4028,IT,Nagpur,Nag 2,Excel,15,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,21.1526179,79.0881983,Maharashtra
Customer D,01-03-2017,Student3540,Finance,New Delhi,Saket,Office 365,29,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer D,01-03-2017,Student5354,IT,Hyderabad,Hyd1,Office 365,36,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer A,01-03-2017,Student3433,ADmN,Hyderabad,Hyd1,PowerApps,21,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,17.3921437,78.4656193,Telangana
